State_Name,Place,Zip_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Samples,Population,City,County
Maryland,Glenn Dale,20769,18528220,283715,38.984395,-76.800322,1833,1757,589,753,6604,Glenn Dale,Prince Georges
Maryland,Galesville,20764,3361018,1008864,38.84077,-76.55436800000001,1566,1073,838,95,4176,Shady Side,Anne Arundel
Maryland,Little Orleans,20759,37814458,848741,39.1656378,-76.925574,2249,2249,183,18,3355,Fulton,Howard
Maryland,Little Orleans,20755,4311198,0,39.118584000000006,-76.7352797,2004,2001,540,765,9302,Fort George G Meade,Anne Arundel
Maryland,Hillcrest Heights,20748,6441090,8754,38.836389000000004,-76.97081999999999,1163,1110,347,3266,38792,Temple Hills,Prince Georges
Maryland,Little Orleans,20747,1409021,929,38.8593834,-76.9089053,1156,1161,332,1364,40054,District Heights,Prince Georges
Maryland,Suitland,20746,10997719,8728,38.848615,-76.92251999999999,1235,1211,345,5655,28838,Suitland,Prince Georges
Maryland,Little Orleans,20745,3422219,13230,38.7987325,-76.9896873,1246,1287,502,779,28451,Oxon Hill,Prince Georges
Maryland,Little Orleans,20744,1381130,0,38.8103778,-76.9586498,1224,1220,399,1363,50722,Fort Washington,Prince Georges
Maryland,Seat Pleasant city,20743,1897945,0,38.895246,-76.901475,1129,1113,637,689,38621,Capitol Heights,Prince Georges
Maryland,Little Orleans,20740,6732247,6510,38.9885464,-76.8990035,1591,1480,429,327,28780,College Park,Prince Georges
Maryland,East Riverdale,20737,4230370,0,38.959782000000004,-76.911057,1219,1155,364,2016,20684,Riverdale,Prince Georges
Maryland,Little Orleans,20736,17529241,1805999,38.700185999999995,-76.55350379999999,1607,1631,572,1260,8904,Owings,Calvert
Maryland,Clinton,20735,64738108,197710,38.750917,-76.90266899999999,1696,1752,845,1357,35421,Clinton,Prince Georges
Maryland,Maryland City,20724,19975493,0,39.10159,-76.805198,1759,1735,355,2429,16093,Laurel,Anne Arundel
Maryland,Little Orleans,20723,3599176,1289,39.1163844,-76.85673220000001,1620,1535,394,519,28972,Laurel,Howard
Maryland,Lake Arbor,20721,8117688,167590,38.90957,-76.830236,1795,1752,593,1366,27016,Bowie,Prince Georges
Maryland,Little Orleans,20716,40412800,266564,38.90645120000001,-76.7062714,1510,1491,415,425,20787,Bowie,Prince Georges
Maryland,Bowie city,20715,49107130,236872,38.957072,-76.741124,1802,1775,628,3165,26382,Bowie,Prince Georges
Maryland,Little Orleans,20712,323153,0,38.9445015,-76.9695724,990,981,197,1023,9031,Mount Rainier,Prince Georges
Maryland,Bladensburg,20710,2578054,23696,38.942368,-76.92591,1093,1137,430,2758,9313,Bladensburg,Prince Georges
Maryland,Little Orleans,20708,7919611,55587,39.0427818,-76.8267555,1458,1401,328,636,25546,Laurel,Prince Georges
Maryland,Laurel city,20707,12313036,72857,39.09507,-76.861263,1464,1401,462,5199,31538,Laurel,Prince Georges
Maryland,Little Orleans,20706,5186092,45636,38.9550751,-76.8506247,1051,1072,334,341,38692,Lanham,Prince Georges
Maryland,Beltsville,20705,18551756,70399,39.039903,-76.920443,1513,1442,543,2028,26188,Beltsville,Prince Georges
Maryland,Little Orleans,20690,92967800,37937378,38.174519399999994,-76.496938,1280,1272,714,467,740,Tall Timbers,Saint Marys
Maryland,Long Beach,20685,4325808,52907,38.458841,-76.47364499999999,1585,1354,572,53,6471,Saint Leonard,Calvert
Maryland,Little Orleans,20680,0,825954006,38.1089624,-76.431674,0,0,0,0,1119,Ridge,Saint Marys
Maryland,Little Orleans,20678,39006142,12797711,38.483325799999996,-76.6074575,1242,1059,588,179,11045,Prince Frederick,Calvert
Maryland,Pomfret,20675,7096466,0,38.569904,-77.030372,2008,2144,414,41,1671,Pomfret,Charles
Maryland,Little Orleans,20667,22989446,3795620,38.238305100000005,-76.42280229999999,939,586,567,63,494,Park Hall,Saint Marys
Maryland,Little Orleans,20664,107406911,37116162,38.3348487,-76.90953499999999,1682,1771,728,100,2987,Newburg,Charles
Maryland,Little Orleans,20662,98191809,15974388,38.472469399999994,-77.09021329999999,1528,1676,404,44,2934,Nanjemoy,Charles
Maryland,Little Orleans,20659,54085049,548546,38.4678001,-76.7679538,1254,1280,596,119,23498,Mechanicsville,Saint Marys
